,Names,Specialization,Experience,Hospital_Name,Area,City,Consultation_Fees,Doctor_recommondations,Patient_stories,Doctor_availability
1,Dr. Deepak Devakar,Dermatologist,19,Dermasculpt Hair Transplant and Skin Clinic,JP Nagar,Bangalore,600,98,580, Today
2,Dr. Vignessh Raj,Dermatologist,16,Dr. RAJ's Centre for Skin & Hair,Whitefield,Bangalore,700,98,286, Today
3,Dr. Neelima Sharma,Dermatologist,24,Manipal Hospital,Jayanagar 9 Block,Bangalore,650,95,27, Today
4,Dr. Parthasarathi Dutta Roy,Dermatologist,20,Dr. Partha Sarathi's Asian Hair and Skin Hospitals,MG Road,Bangalore,700,89,1314, Today
5,Dr. Jyothi Menon,Dermatologist,22,Oliva Skin & Hair Clinic,Koramangala 7 Block,Bangalore,600,96,33, Today
6,Dr. Sankeerth Vijayakumar,Dermatologist,13,Dermaville,HSR Layout,Bangalore,600,97,156, Today
7,Dr. Deepa,Dermatologist,15,Kritash Skin and Asthetic Clinic,Sarjapur Road,Bangalore,600,98,90, Today
8,Dr. Janet Alexander Castelino,Dermatologist,30,DermaZeal Clinic,HSR Layout,Bangalore,1000,92,3318, Today
9,Dr. Kisalay Saurav,Dermatologist,20,Dr. Saurav's Skin Clinic,Kalyan Nagar,Bangalore,700,93,115, Today
10,Dr. Sheelavathi Natraj,Dermatologist,19,Sapphire Skin and Aesthetics Clinic,JP Nagar,Bangalore,700,94,583, Today
13,Dr. B Anand,Dermatologist,17,SmilenGlow Dental and Skin Hospital,Karkhana,Hyderabad,600,97,192, Today
14,Dr. Shravya G,Dermatologist,17,Anceita Skin and Hair Clinic,Jubilee Hills,Hyderabad,800,92,203, Today
15,Dr. G L Sitara,Dermatologist,13,Dr Sitara Advanced Skin And Hair Clinic,Madinaguda,Hyderabad,500,97,287, Today
16,Dr. Harika Ramisetty,Dermatologist,14,TruSkin Dermatology Lasers and Anti-Aging Clinic,Madhapur,Hyderabad,600,99,59, Today
17,Dr. V.Shirisha,Dermatologist,17,Shirisha Skin & Hair Clinic,Kondapur,Hyderabad,650,93,79, Today
18,Dr. Madhavi Pudi,Dermatologist,16,Dr. Madhavis Advanced Skin Hair and Laser Clinic,Balkampet,Hyderabad,800,91,554, Today
19,Dr. Soumya Podduturi,Dermatologist,13,Oliva Skin & Hair Clinic,Secunderabad,Hyderabad,600,96,204, Today
20,Dr. Uma Chakravadhanula,Dermatologist,29,Idea Clinics,Madhapur,Hyderabad,700,98,31, Today
21,Dr. Meghana,Dermatologist,20,Oliva Skin & Hair Clinic,Banjara Hills,Hyderabad,600,99,111, Today
22,Dr. Mallikarjun,Dermatologist,10,DIVI Speciality Clinics,Chanda Nagar,Hyderabad,400,98,61, Today
24,Dr. Subhashini Mohan,Dermatologist,17,Apollo Spectra Hospital,Alwarpet,Chennai,1000,96,17, Today
25,Dr. Jyothsna,Dermatologist,12,"Curves Cosmetic Surgery, Skin & Laser Clinic",Saligramam,Chennai,700,96,142, Today
26,Dr. Col Rajagopal A,Dermatologist,61,Apollo Hospital,Greams Road,Chennai,1000,100,4, Today
27,Dr. B.Sindhu Raaghavi,Dermatologist,13,Carves Skin Clinic,Velachery,Chennai,700,98,219, Today
28,Dr. Sukanya Mathupal,Dermatologist,23,Dr. Rela Institute & Medical Centre,Chromepet,Chennai,600,94,95, Today
29,Dr. Snehalatha,Dermatologist,18,Nila Skin Care Clinic,Tambaram East,Chennai,750,92,234, Today
30,Dr. Ganga Ravikumar,Dermatologist,33,Dermis Skin & Hair Clinic,Adyar,Chennai,700,96,255, Today
31,Dr. Rajeshwari,Dermatologist,20,Dr.Rajeshwari's Skin & Hair Care Private Limited,T Nagar,Chennai,700,83,497, Today
32,Dr. Cordelia Babitha,Dermatologist,19,Avira Skin and Hair Clinic,Besant Nagar,Chennai,600,100,44, Today
33,Dr. Senthil Sivaprakasam,Dermatologist,18,Radiance Skin And Hair Care,Kilpauk,Chennai,600,99,51, Today
36,Dr. Rameshwar Gutte,Dermatologist,19,Dermodent Clinic,Kanjurmarg,Mumbai,500,95,86, Today
37,Dr. Resham Vasani Bhojani,Dermatologist,24,BHOJANI CLINIC,Matunga,Mumbai,1700,99,261, Today
38,Dr. Kiran Katkar,Dermatologist,38,Dr Kiran Katkar's Dermis Skin Wellness Clinic Lase,Dadar West,Mumbai,1200,93,130, Today
39,Dr. Neha V Shah,Dermatologist,14,Skin Vogue Clinic,Ghatkopar East,Mumbai,1000,99,119, Today
40,Dr. Vaishali Kanthi,Dermatologist,25,Luvayaa Skin Clinic,Bhandup West,Mumbai,800,87,56, Today
41,Dr. Sejal Saheta,Dermatologist,19,Inurskn - Skin & Hair Clinic,Powai,Mumbai,1000,95,260, Today
42,Dr. Pallavi Rathi,Dermatologist,19,My Skin My Health,Andheri East,Mumbai,1000,90,261, Today
43,Dr. Shubhangi Mahajan,Dermatologist,13,Skin Omega Clinic,Parel,Mumbai,800,100,58, Today
44,Dr. Sarika Holmukhe,Dermatologist,18,Dr Skinn Clinic,Andheri West,Mumbai,1000,95,110, Today
45,Dr. Raina Nahar,Dermatologist,15,Kaizen Skin Clinic,Andheri West,Mumbai,1000,92,135, Today
48,Dr. Sonal Chavan,Dermatologist,17,Dr. Sonnal Chavaan Aesthetic Clinic,Pimple Saudagar,Pune,700,90,396, Today
49,Dr. Rajshree Patil,Dermatologist,25,Kimaya Skin Clinic,Aundh,Pune,500,90,217, Today
50,Dr. L K Desai,Dermatologist,28,"Dr. Desai Dermacare- Skin, Hair & Laser Clinic",Sopan Baug,Pune,500,94,139, Today
51,Dr. K R Chandvania,Dermatologist,44,Pallavi Laser Centre,Pimpri-Chinchwad,Pune,900,83,90, Today
52,Dr. Pradeep Kumari,Dermatologist,20,Skin And Surgery International & Asia Institute Of Hair Transplant,Viman Nagar,Pune,700,96,670, Today
53,Dr. Mohan Darbastwar,Dermatologist,16,The Skin Hair Laser & Cosmetology Clinic,Koregaon Park,Pune,600,97,255, Today
54,Dr. Nandini Teli,Dermatologist,14,Alpha Superspeciality Hospital,Wakad,Pune,800,91,424, Today
55,Dr. Ravi Kothari,Dermatologist,20, Sparsh Skin Hair Laser Clinic,Aundh,Pune,500,86,117, Today
56,Dr. Amit S Murkute,Dermatologist,13,Elite Skin & Hair Clinic,Wakad,Pune,600,96,16, Today
57,Dr. Patil Leena Rajendra,Dermatologist,8,MySkin - Skin and Hair Refiner,Viman Nagar,Pune,500,96,14, Today
60,Dr. Deepti  Shrivastava,Dermatologist,28,Skin Hair & You,Anand Vihar,Delhi,800,95,319, Today
61,Dr. Mahima Wadhwa,Dermatologist,12,Dr Mahima Wadhwa Skin CliniQ,Shalimar Bagh,Delhi,800,100,58, Today
62,Dr. Aamir Siddiqui,Dermatologist,15,Dr. Siddiqui's Skin Clinic,New Friends Colony,Delhi,2000,96,312, Today
